npm,jk,ips3,ips4,ips5,ips6,sesuai
103015520108001,L,3.60,3.58,3.05,3.70,Y
103015520108002,L,3.60,3.68,3.30,3.85,Y
103015520108003,L,3.05,3.05,3.30,3.40,Y
103015520108007,L,3.30,3.42,3.55,3.70,Y
103015520108008,P,3.05,3.21,3.20,3.40,Y
103015520108012,L,3.35,3.00,2.85,3.10,Y
103015520108014,L,2.80,2.68,2.90,3.30,T
103015520108017,L,3.30,2.79,3.45,3.55,Y
103015520108021,L,3.05,2.79,3.00,2.85,T
103015520108024,L,3.05,2.84,3.25,3.25,T
103015520108025,L,2.55,2.53,2.60,2.70,T
